event_id,timestamp,clip_id,zone,behavior_class,policy_rule_ref,event_description,severity,escalation_action
f570075c-8cf1-4e85-bde3-4bb3b99c0d49,2026-06-17T08:56:51.006215+00:00,1_tr42,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
8583a2f8-8aaa-4d0f-9aa7-c8d5e8ddf828,2026-06-17T08:56:51.085104+00:00,1_tr42,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
09db8d00-508b-433f-884b-96b5fcf16546,2026-06-17T08:56:51.890954+00:00,1_tr42,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
d386227e-61bb-4271-97d9-2145fc38f7c4,2026-06-17T08:56:52.488832+00:00,1_tr42,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
c5ab7e2d-02c3-4223-8978-b58d35d2726e,2026-06-17T08:56:53.517006+00:00,3_tr31,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
e16719b3-aad1-4181-9016-c97ff4cf9f60,2026-06-17T08:56:53.649458+00:00,0_tr155,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
d47fbaf0-a273-4d76-984d-3c865ba35715,2026-06-17T08:56:54.372960+00:00,0_tr155,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
f972ad0f-48a3-4b52-b6a9-66809f6227d8,2026-06-17T08:56:55.121989+00:00,0_tr155,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
85d794c6-57fe-4bbb-8706-aed07f04f9f8,2026-06-17T08:56:55.574653+00:00,4_tr36,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
b67b72f6-72e1-47b1-b39b-f78992b94714,2026-06-17T08:56:56.455435+00:00,4_tr36,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
a7c834a4-2b06-4193-8b9d-bbfdc9b47efc,2026-06-17T08:56:56.920448+00:00,4_tr36,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
9b635fb9-f0be-45b8-80b1-076ce2d24166,2026-06-17T08:56:57.339793+00:00,0_tr34,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
cd159815-50bd-426b-997c-91fc26bc70a2,2026-06-17T08:56:57.339826+00:00,0_tr34,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
90e34ed8-e87f-4c60-bca1-cf4769662c15,2026-06-17T08:56:58.165412+00:00,2_tr30,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
2d58aa5c-e5b2-4909-b2b7-a7ae24125e68,2026-06-17T08:56:58.509446+00:00,2_tr30,Zone-2,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
9520c7d6-efab-42b8-b7ef-d6dfb9117094,2026-06-17T08:56:58.788729+00:00,2_tr69,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
7c0fd4be-fad9-447a-b364-35149c7dc337,2026-06-17T08:56:59.688075+00:00,5_te7,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
e1adc681-d9c6-487d-8298-473fc744d53f,2026-06-17T08:56:59.688108+00:00,5_te7,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
8e25f245-3510-4518-ab7e-9825101c40d0,2026-06-17T08:57:00.396566+00:00,5_te7,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
524e409f-7720-49ab-8c43-5a5e872366d1,2026-06-17T08:57:00.953720+00:00,0_tr10,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
6c3fd8f3-367b-42c8-ae66-a7782845f364,2026-06-17T08:57:01.748014+00:00,0_tr10,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
3a6844fd-4cd5-4ae8-b632-52a7085b0134,2026-06-17T08:57:02.071288+00:00,0_tr10,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
00726427-6844-4c0b-8a47-6a523fd2dc85,2026-06-17T08:57:02.541844+00:00,0_tr10,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
216865d4-1019-48c0-9da2-b0c79d4e5a38,2026-06-17T08:57:04.119400+00:00,0_te11,Zone-2,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
e6429bce-b1d7-416a-8854-8f34b09beb75,2026-06-17T08:57:04.119433+00:00,0_te11,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
d8af5a23-c1d1-4001-84b0-533b68864cd9,2026-06-17T08:57:04.188588+00:00,0_te11,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
398fba73-d1ec-44c9-b16e-0c732bab158d,2026-06-17T08:57:06.809458+00:00,2_tr115,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
6e9f48fc-819a-4843-a295-0a8e55f089d8,2026-06-17T08:57:06.809490+00:00,2_tr115,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
673ac166-854f-4e26-b54f-3daac7646ae4,2026-06-17T08:57:07.665558+00:00,2_tr115,Zone-2,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
a26628e7-ffb6-43ea-ac47-6da4c5da3fcd,2026-06-17T08:57:07.665591+00:00,2_tr115,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
bbcc00d4-ef23-4b59-a686-891f18fc6ad2,2026-06-17T08:57:10.776858+00:00,1_tr54,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
de97950f-21e6-4594-bd32-6ed612cabe53,2026-06-17T08:57:11.200897+00:00,1_tr54,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
d9370362-0530-41a4-847e-b4b91ad0e490,2026-06-17T08:57:11.362064+00:00,1_tr54,Zone-2,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
75086a4d-4f4e-436a-b4ea-65a1c2c91dcd,2026-06-17T08:57:11.628456+00:00,1_tr54,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
b47bf2e9-71c5-41f7-9f5a-76bcdf97111b,2026-06-17T08:57:11.628489+00:00,1_tr54,Zone-Forklift,forklift_load,Section 3.4,Hazardous operational posture: Personnel inside forklift transit sector zone.,CRITICAL,Real-time alert triggered + DB log
e66bfd06-030f-4ea4-9116-8f9eb0927313,2026-06-17T08:57:12.729588+00:00,4_tr9,Zone-3,pedestrian_movement,Section 3.1,Person detected outside designated green safety floor walkway boundaries.,HIGH,Real-time alert triggered + DB log
